Story	Page	Type	Content
fable5-day3-farm	1	Hashtags	#FiveDaysOfFable5  #Fable5  #BuildInPublic  #Vercel  #NextJS  #IndieHacking  #RegenerativeAgriculture  #WellnessTech
fable5-day3-farm	1	Sources note	Day 3 of 5 — built and shipped in one evening. Sources retrieved July 16, 2026.
fable5-day3-farm	1	Kicker	FIVE DAYS OF FABLE 5 · DAY 3
fable5-day3-farm	1	Title	The Farm — Jeff's, not Clarkson's.
fable5-day3-farm	1	Subtitle	A simple Vercel app, built on the Twitter / X / Threads playbook.
fable5-day3-farm	1	Paragraph	One evening. One phone call. One deploy. Here's how Day 3 actually happened.
fable5-day3-farm	2	Kicker	THE CHALLENGE
fable5-day3-farm	2	Title	Five days. Five builds. One model.
fable5-day3-farm	2	Paragraph	Fable 5 in the driver's seat, shipping something real every day. Day 3 needed a spark — and it came from an unexpected phone call.
fable5-day3-farm	3	Kicker	THE PIVOT
fable5-day3-farm	3	Title	We almost led with a Google Sheets extension.
fable5-day3-farm	3	Paragraph	Useful? Sure. Exciting? About as thrilling as a spreadsheet sounds. Then the phone rang.
fable5-day3-farm	4	Kicker	THE CALL
fable5-day3-farm	4	Title	Jeff didn't want another template.
fable5-day3-farm	4	Paragraph	My friend Jeff Von Stetton of Holistics Unlimited [1] called. He wanted something that belonged to his community — not a generic platform — and asked if I wanted to collaborate.
fable5-day3-farm	5	Kicker	I'VE BUILT THIS BEFORE
fable5-day3-farm	5	Title	I used to run production for Piczo.
fable5-day3-farm	5	Paragraph	The social network for the MySpace-to-Facebook generation, founded by Jim Conning [2]. Standing up a community platform isn't new ground for me.
fable5-day3-farm	6	Kicker	THE BLUEPRINT
fable5-day3-farm	6	Title	Twitter's playbook, re-rooted.
fable5-day3-farm	6	Paragraph	A feed, posts, photos and video, real sign-in — the X / Threads pattern, rebuilt for regenerative agriculture and honest wellness brands.
fable5-day3-farm	7	Kicker	SHIPPED MID-CALL
fable5-day3-farm	7	Title	I sent Jeff the prototype before we hung up.
fable5-day3-farm	7	Paragraph	Not a mockup. A working app he could click through while we were still on the line.
fable5-day3-farm	8	Kicker	THE LAUNCH
fable5-day3-farm	8	Title	Deployed to Vercel the same night.
fable5-day3-farm	8	Paragraph	No pitch deck. No six-month roadmap. From a phone call to a live site in a matter of hours — and the whole build is open source [3].
fable5-day3-farm	9	Kicker	DAY 3, DONE
fable5-day3-farm	9	Title	This is just the first seed.
fable5-day3-farm	9	Paragraph	Thanks to Jeff Von Stetton for the spark, and Jim Conning for writing the original playbook. Two more days of Fable 5 to go. Full walkthrough on video [4].
